date,amount,category,merchant,description
2025-04-21,1045.77,Personal Care,Laundry,Personal Care - Laundry
2025-04-21,2680.5,Bills,Internet Provider,Bills - Internet Provider
2025-04-21,974.1,Gifts,Ferns N Petals,Gifts - Ferns N Petals
2025-04-21,243.96,Food,Starbucks,Food - Starbucks
2025-04-21,3300.6,Education,College Fees,Education - College Fees
2025-04-21,1301.21,Healthcare,Dr. Consultation,Healthcare - Dr. Consultation
2025-04-22,330.58,Food,Subway,Food - Subway
2025-04-22,1466.15,Bills,Gas Connection,Bills - Gas Connection
2025-04-22,1360.13,Utilities,AC Repair,Utilities - AC Repair
2025-04-22,273.68,Food,Domino's,Food - Domino's
2025-04-22,1706.02,Food,McDonald's,Food - McDonald's
2025-04-22,3435.22,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-22,1377.05,Groceries,JioMart,Groceries - JioMart
2025-04-22,844.05,Transport,Ola,Transport - Ola
2025-04-23,730.67,Other,Miscellaneous,Other - Miscellaneous
2025-04-23,3512.47,Travel,Resort,Travel - Resort
2025-04-23,1185.65,Food,McDonald's,Food - McDonald's
2025-04-23,605.64,Food,Barbeque Nation,Food - Barbeque Nation
2025-04-23,610.34,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-24,2032.82,Other,Transfer,Other - Transfer
2025-04-24,3120.68,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-24,1896.77,Shopping,Flipkart,Shopping - Flipkart
2025-04-24,458.84,Food,Subway,Food - Subway
2025-04-24,1317.38,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-04-24,907.17,Bills,Internet Provider,Bills - Internet Provider
2025-04-24,2593.38,Shopping,Lifestyle,Shopping - Lifestyle
2025-04-24,1513.44,Entertainment,BookMyShow,Entertainment - BookMyShow
2025-04-24,1001.28,Food,Haldirams,Food - Haldirams
2025-04-24,720.44,Entertainment,Netflix,Entertainment - Netflix
2025-04-24,3342.73,Personal Care,Laundry,Personal Care - Laundry
2025-04-24,1235.09,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-25,532.64,Food,Zomato,Food - Zomato
2025-04-25,594.6,Food,Local Restaurant,Food - Local Restaurant
2025-04-25,378.44,Food,Haldirams,Food - Haldirams
2025-04-25,503.96,Transport,Petrol Pump,Transport - Petrol Pump
2025-04-25,790.13,Food,Barbeque Nation,Food - Barbeque Nation
2025-04-25,2142.93,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-25,1593.65,Groceries,Zepto,Groceries - Zepto
2025-04-25,1022.26,Subscriptions,Antivirus,Subscriptions - Antivirus
2025-04-25,741.94,Entertainment,BookMyShow,Entertainment - BookMyShow
2025-04-25,1358.44,Utilities,Electrician,Utilities - Electrician
2025-04-26,1880.0,Gifts,Flower Delivery,Gifts - Flower Delivery
2025-04-26,789.85,Food,Haldirams,Food - Haldirams
2025-04-26,1577.28,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-04-26,1118.14,Education,Coaching Center,Education - Coaching Center
2025-04-26,1348.43,Transport,Petrol Pump,Transport - Petrol Pump
2025-04-26,845.19,Transport,Parking,Transport - Parking
2025-04-26,924.32,Utilities,AC Repair,Utilities - AC Repair
2025-04-26,428.86,Food,Barbeque Nation,Food - Barbeque Nation
2025-04-26,1660.9,Healthcare,1mg,Healthcare - 1mg
2025-04-26,975.1,Entertainment,Netflix,Entertainment - Netflix
2025-04-27,1295.86,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-27,754.3,Food,KFC,Food - KFC
2025-04-27,816.06,Other,Transfer,Other - Transfer
2025-04-27,511.06,Subscriptions,Gym Membership,Subscriptions - Gym Membership
2025-04-27,2385.58,Investments,SIP Payment,Investments - SIP Payment
2025-04-28,2456.65,Shopping,Reliance Digital,Shopping - Reliance Digital
2025-04-28,975.52,Food,Domino's,Food - Domino's
2025-04-28,4949.84,Education,Udemy,Education - Udemy
2025-04-28,817.07,Other,Miscellaneous,Other - Miscellaneous
2025-04-28,677.55,Personal Care,Grooming Products,Personal Care - Grooming Products
2025-04-28,700.65,Transport,Ola,Transport - Ola
2025-04-29,1106.47,Transport,Ola,Transport - Ola
2025-04-29,1592.51,Other,Transfer,Other - Transfer
2025-04-29,2226.72,Groceries,DMart,Groceries - DMart
2025-04-29,625.35,Transport,Ola,Transport - Ola
2025-04-29,355.34,Entertainment,Hotstar,Entertainment - Hotstar
2025-04-29,1293.78,Education,Coursera,Education - Coursera
2025-04-29,1980.51,Groceries,Local Grocery,Groceries - Local Grocery
2025-04-29,5719.33,Shopping,Myntra,Shopping - Myntra
2025-04-29,6586.4,Investments,SIP Payment,Investments - SIP Payment
2025-04-30,1036.05,Personal Care,Body Shop,Personal Care - Body Shop
2025-04-30,1057.89,Utilities,Water Purifier Service,Utilities - Water Purifier Service
2025-04-30,5456.35,Investments,Fixed Deposit,Investments - Fixed Deposit
2025-04-30,3732.01,Shopping,Ajio,Shopping - Ajio
2025-04-30,548.7,Food,Street Food,Food - Street Food
2025-04-30,875.15,Transport,Petrol Pump,Transport - Petrol Pump
2025-04-30,634.65,Groceries,JioMart,Groceries - JioMart
2025-04-30,978.71,Food,Local Restaurant,Food - Local Restaurant
2025-04-30,2968.19,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-04-30,1836.54,Bills,Water Board,Bills - Water Board
2025-05-01,1501.02,Healthcare,Hospital,Healthcare - Hospital
2025-05-01,839.82,Food,Haldirams,Food - Haldirams
2025-05-01,713.43,Food,Pizza Hut,Food - Pizza Hut
2025-05-01,2709.3,Groceries,BigBasket,Groceries - BigBasket
2025-05-01,877.09,Food,Domino's,Food - Domino's
2025-05-01,290.39,Entertainment,PVR Cinemas,Entertainment - PVR Cinemas
2025-05-01,2388.87,Shopping,Flipkart,Shopping - Flipkart
2025-05-01,2481.39,Bills,Water Board,Bills - Water Board
2025-05-01,2332.87,Utilities,Gas Cylinder,Utilities - Gas Cylinder
2025-05-01,518.27,Personal Care,Grooming Products,Personal Care - Grooming Products
2025-05-01,2915.73,Investments,Fixed Deposit,Investments - Fixed Deposit
2025-05-01,2658.46,Shopping,Ajio,Shopping - Ajio
2025-05-01,598.73,Other,UPI Payment,Other - UPI Payment
2025-05-01,1307.1,Groceries,Blinkit,Groceries - Blinkit
2025-05-01,812.79,Transport,Uber,Transport - Uber
2025-05-01,322.94,Food,Zomato,Food - Zomato
2025-05-01,678.08,Entertainment,Netflix,Entertainment - Netflix
2025-05-01,2203.28,Groceries,Blinkit,Groceries - Blinkit
2025-05-01,396.34,Food,Zomato,Food - Zomato
2025-05-02,347.57,Food,Swiggy,Food - Swiggy
2025-05-02,2072.38,Shopping,Croma,Shopping - Croma
2025-05-02,952.28,Bills,Jio,Bills - Jio
2025-05-02,963.21,Groceries,Local Grocery,Groceries - Local Grocery
2025-05-02,1150.02,Personal Care,Spa,Personal Care - Spa
2025-05-02,6460.12,Investments,SIP Payment,Investments - SIP Payment
2025-05-02,924.95,Subscriptions,News Subscription,Subscriptions - News Subscription
2025-05-02,7670.14,Rent,Housing Society,Rent - Housing Society
2025-05-02,524.63,Entertainment,PVR Cinemas,Entertainment - PVR Cinemas
2025-05-02,812.57,Bills,Airtel,Bills - Airtel
2025-05-03,1330.35,Food,Street Food,Food - Street Food
2025-05-03,631.93,Transport,Toll Plaza,Transport - Toll Plaza
2025-05-03,1620.16,Bills,Vi,Bills - Vi
2025-05-03,956.8,Healthcare,Dental Clinic,Healthcare - Dental Clinic
2025-05-03,632.57,Healthcare,Hospital,Healthcare - Hospital
2025-05-03,324.51,Transport,IRCTC,Transport - IRCTC
2025-05-03,329.85,Food,Domino's,Food - Domino's
2025-05-03,342.82,Transport,Ola,Transport - Ola
2025-05-03,391.11,Food,Zomato,Food - Zomato
2025-05-03,4835.28,Gifts,Archies,Gifts - Archies
2025-05-03,1445.2,Utilities,AC Repair,Utilities - AC Repair
2025-05-03,1441.36,Bills,Gas Connection,Bills - Gas Connection
2025-05-03,1094.32,Education,Unacademy,Education - Unacademy
2025-05-03,5953.4,Rent,Housing Society,Rent - Housing Society
2025-05-04,1491.12,Groceries,DMart,Groceries - DMart
2025-05-04,836.52,Education,College Fees,Education - College Fees
2025-05-04,890.02,Food,Swiggy,Food - Swiggy
2025-05-04,485.14,Food,Local Restaurant,Food - Local Restaurant
2025-05-04,526.47,Food,Local Restaurant,Food - Local Restaurant
2025-05-04,485.3,Transport,Ola,Transport - Ola
2025-05-04,2525.7,Shopping,Amazon,Shopping - Amazon
2025-05-04,1493.77,Other,Transfer,Other - Transfer
2025-05-04,1069.29,Other,Cash Payment,Other - Cash Payment
2025-05-04,1006.79,Personal Care,Salon,Personal Care - Salon
2025-05-04,979.91,Food,Domino's,Food - Domino's
2025-05-04,1723.51,Groceries,Blinkit,Groceries - Blinkit
2025-05-05,1504.53,Utilities,Water Purifier Service,Utilities - Water Purifier Service
2025-05-05,352.75,Food,Haldirams,Food - Haldirams
2025-05-05,703.0,Bills,Internet Provider,Bills - Internet Provider
2025-05-05,770.5,Transport,Rapido,Transport - Rapido
2025-05-05,430.53,Transport,IRCTC,Transport - IRCTC
2025-05-05,3257.25,Education,Coursera,Education - Coursera
2025-05-05,927.85,Healthcare,PharmEasy,Healthcare - PharmEasy
2025-05-05,336.03,Food,Pizza Hut,Food - Pizza Hut
2025-05-05,426.29,Food,Domino's,Food - Domino's
2025-05-05,2784.09,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-05-05,507.11,Transport,Toll Plaza,Transport - Toll Plaza
2025-05-05,1781.18,Groceries,DMart,Groceries - DMart
2025-05-05,5619.86,Shopping,Lifestyle,Shopping - Lifestyle
2025-05-05,3647.56,Shopping,Flipkart,Shopping - Flipkart
2025-05-05,4667.88,Travel,MakeMyTrip,Travel - MakeMyTrip
2025-05-06,1427.14,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-06,3114.55,Education,Stationery Shop,Education - Stationery Shop
2025-05-06,6116.74,Travel,Travel Agent,Travel - Travel Agent
2025-05-06,420.51,Food,Swiggy,Food - Swiggy
2025-05-06,629.31,Food,Zomato,Food - Zomato
2025-05-06,1107.25,Groceries,DMart,Groceries - DMart
2025-05-06,2679.44,Bills,Vi,Bills - Vi
2025-05-06,594.42,Entertainment,Hotstar,Entertainment - Hotstar
2025-05-06,372.84,Subscriptions,Antivirus,Subscriptions - Antivirus
2025-05-06,1651.16,Shopping,Shoppers Stop,Shopping - Shoppers Stop
2025-05-06,682.93,Transport,Toll Plaza,Transport - Toll Plaza
2025-05-06,1564.62,Transport,Metro Card,Transport - Metro Card
2025-05-06,2624.13,Gifts,Archies,Gifts - Archies
2025-05-06,573.77,Gifts,Gift Shop,Gifts - Gift Shop
2025-05-06,652.52,Groceries,Blinkit,Groceries - Blinkit
2025-05-06,915.32,Food,Subway,Food - Subway
2025-05-06,1417.45,Subscriptions,Gym Membership,Subscriptions - Gym Membership
2025-05-06,5394.57,Gifts,Archies,Gifts - Archies
2025-05-06,821.28,Utilities,AC Repair,Utilities - AC Repair
2025-05-06,442.42,Transport,Toll Plaza,Transport - Toll Plaza
2025-05-07,2160.02,Healthcare,PharmEasy,Healthcare - PharmEasy
2025-05-07,826.69,Entertainment,YouTube Premium,Entertainment - YouTube Premium
2025-05-07,4514.48,Travel,Resort,Travel - Resort
2025-05-07,633.23,Subscriptions,News Subscription,Subscriptions - News Subscription
2025-05-07,754.38,Food,Barbeque Nation,Food - Barbeque Nation
2025-05-07,861.82,Groceries,Local Grocery,Groceries - Local Grocery
2025-05-07,1680.5,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-07,1729.48,Transport,Toll Plaza,Transport - Toll Plaza
2025-05-07,287.51,Entertainment,Hotstar,Entertainment - Hotstar
2025-05-07,5775.03,Shopping,Ajio,Shopping - Ajio
2025-05-07,7860.08,Investments,SIP Payment,Investments - SIP Payment
2025-05-07,987.38,Bills,Vi,Bills - Vi
2025-05-07,1443.5,Groceries,BigBasket,Groceries - BigBasket
2025-05-07,1964.54,Groceries,Local Grocery,Groceries - Local Grocery
2025-05-08,1324.0,Food,Street Food,Food - Street Food
2025-05-08,5356.08,Shopping,Lifestyle,Shopping - Lifestyle
2025-05-08,833.24,Groceries,BigBasket,Groceries - BigBasket
2025-05-08,1580.72,Other,Cash Payment,Other - Cash Payment
2025-05-08,5312.65,Travel,MakeMyTrip,Travel - MakeMyTrip
2025-05-08,5818.36,Education,Udemy,Education - Udemy
2025-05-08,646.52,Entertainment,Gaming Zone,Entertainment - Gaming Zone
2025-05-08,311.48,Food,Haldirams,Food - Haldirams
2025-05-08,743.19,Healthcare,1mg,Healthcare - 1mg
2025-05-08,3585.26,Investments,Zerodha,Investments - Zerodha
2025-05-08,715.22,Groceries,Local Grocery,Groceries - Local Grocery
2025-05-08,2400.62,Shopping,Flipkart,Shopping - Flipkart
2025-05-08,243.67,Food,McDonald's,Food - McDonald's
2025-05-08,134.15,Food,Zomato,Food - Zomato
2025-05-08,6650.32,Investments,Fixed Deposit,Investments - Fixed Deposit
2025-05-08,1763.55,Entertainment,Amazon Prime,Entertainment - Amazon Prime
2025-05-09,907.49,Food,Local Restaurant,Food - Local Restaurant
2025-05-09,6094.92,Other,Miscellaneous,Other - Miscellaneous
2025-05-09,532.19,Food,Subway,Food - Subway
2025-05-09,480.69,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-05-09,508.27,Food,Domino's,Food - Domino's
2025-05-09,1295.52,Healthcare,Dr. Consultation,Healthcare - Dr. Consultation
2025-05-10,1016.65,Shopping,Amazon,Shopping - Amazon
2025-05-10,6604.48,Shopping,Flipkart,Shopping - Flipkart
2025-05-10,859.38,Healthcare,Hospital,Healthcare - Hospital
2025-05-10,1115.65,Personal Care,Laundry,Personal Care - Laundry
2025-05-10,1690.31,Investments,Fixed Deposit,Investments - Fixed Deposit
2025-05-11,455.25,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-05-11,1072.34,Food,Haldirams,Food - Haldirams
2025-05-11,1268.44,Food,KFC,Food - KFC
2025-05-11,679.49,Transport,Petrol Pump,Transport - Petrol Pump
2025-05-11,381.93,Food,Domino's,Food - Domino's
2025-05-11,516.72,Food,Local Restaurant,Food - Local Restaurant
2025-05-11,2094.64,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-11,420.04,Transport,Indian Railways,Transport - Indian Railways
2025-05-11,1359.73,Groceries,Blinkit,Groceries - Blinkit
2025-05-11,1121.5,Personal Care,Nykaa,Personal Care - Nykaa
2025-05-11,2928.12,Groceries,JioMart,Groceries - JioMart
2025-05-11,903.53,Food,McDonald's,Food - McDonald's
2025-05-11,575.36,Food,Local Restaurant,Food - Local Restaurant
2025-05-12,608.18,Food,Local Restaurant,Food - Local Restaurant
2025-05-12,1462.23,Shopping,Reliance Digital,Shopping - Reliance Digital
2025-05-12,1334.67,Gifts,Archies,Gifts - Archies
2025-05-12,1143.31,Transport,Indian Railways,Transport - Indian Railways
2025-05-12,321.27,Entertainment,Amazon Prime,Entertainment - Amazon Prime
2025-05-13,2301.67,Healthcare,Apollo Pharmacy,Healthcare - Apollo Pharmacy
2025-05-13,3037.49,Shopping,Shoppers Stop,Shopping - Shoppers Stop
2025-05-13,984.55,Utilities,Electrician,Utilities - Electrician
2025-05-13,507.04,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-05-13,3009.27,Gifts,Gift Shop,Gifts - Gift Shop
2025-05-13,657.67,Transport,Parking,Transport - Parking
2025-05-13,866.35,Healthcare,PharmEasy,Healthcare - PharmEasy
2025-05-13,749.22,Food,McDonald's,Food - McDonald's
2025-05-13,5214.51,Travel,Booking.com,Travel - Booking.com
2025-05-13,614.73,Food,Zomato,Food - Zomato
2025-05-13,746.28,Transport,Metro Card,Transport - Metro Card
2025-05-14,837.94,Groceries,Zepto,Groceries - Zepto
2025-05-14,5872.28,Travel,Booking.com,Travel - Booking.com
2025-05-14,2233.84,Groceries,Blinkit,Groceries - Blinkit
2025-05-14,544.4,Groceries,JioMart,Groceries - JioMart
2025-05-14,914.17,Bills,BSNL,Bills - BSNL
2025-05-14,669.3,Food,Cafe Coffee Day,Food - Cafe Coffee Day
2025-05-14,359.43,Food,Barbeque Nation,Food - Barbeque Nation
2025-05-14,1006.64,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-14,334.91,Transport,Parking,Transport - Parking
2025-05-15,420.94,Transport,Uber,Transport - Uber
2025-05-15,5096.56,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-15,4448.8,Investments,Fixed Deposit,Investments - Fixed Deposit
2025-05-15,733.3,Food,Starbucks,Food - Starbucks
2025-05-15,507.43,Transport,Ola,Transport - Ola
2025-05-15,1842.37,Bills,Airtel,Bills - Airtel
2025-05-15,5980.83,Education,Book Store,Education - Book Store
2025-05-15,363.51,Food,Zomato,Food - Zomato
2025-05-15,507.71,Food,Zomato,Food - Zomato
2025-05-15,3312.74,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-16,1100.43,Transport,Petrol Pump,Transport - Petrol Pump
2025-05-16,2340.48,Education,Stationery Shop,Education - Stationery Shop
2025-05-16,6037.88,Investments,Groww,Investments - Groww
2025-05-16,497.79,Food,Street Food,Food - Street Food
2025-05-16,704.67,Food,KFC,Food - KFC
2025-05-16,2055.93,Healthcare,1mg,Healthcare - 1mg
2025-05-16,2073.7,Groceries,Zepto,Groceries - Zepto
2025-05-16,851.3,Transport,Parking,Transport - Parking
2025-05-17,2086.7,Other,Transfer,Other - Transfer
2025-05-17,745.17,Food,Starbucks,Food - Starbucks
2025-05-17,594.09,Healthcare,Dental Clinic,Healthcare - Dental Clinic
2025-05-17,5784.85,Investments,Zerodha,Investments - Zerodha
2025-05-17,1650.37,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-05-17,1888.73,Personal Care,Laundry,Personal Care - Laundry
2025-05-17,13215.27,Travel,AirBnB,Travel - AirBnB
2025-05-17,518.91,Food,Starbucks,Food - Starbucks
2025-05-17,1354.63,Education,Udemy,Education - Udemy
2025-05-17,575.46,Food,Swiggy,Food - Swiggy
2025-05-17,3072.75,Groceries,Zepto,Groceries - Zepto
2025-05-18,652.14,Healthcare,Dental Clinic,Healthcare - Dental Clinic
2025-05-18,639.14,Personal Care,Nykaa,Personal Care - Nykaa
2025-05-18,1708.88,Groceries,Blinkit,Groceries - Blinkit
2025-05-18,5820.61,Investments,PPF,Investments - PPF
2025-05-19,8627.64,Shopping,Shoppers Stop,Shopping - Shoppers Stop
2025-05-19,861.89,Personal Care,Grooming Products,Personal Care - Grooming Products
2025-05-19,1347.2,Other,Transfer,Other - Transfer
2025-05-19,5653.16,Shopping,Lifestyle,Shopping - Lifestyle
2025-05-19,1107.69,Groceries,BigBasket,Groceries - BigBasket
2025-05-19,607.72,Entertainment,Amazon Prime,Entertainment - Amazon Prime
2025-05-19,409.57,Transport,Ola,Transport - Ola
2025-05-19,351.95,Food,Street Food,Food - Street Food
2025-05-19,507.78,Food,McDonald's,Food - McDonald's
2025-05-20,580.86,Food,Haldirams,Food - Haldirams
2025-05-20,11178.29,Investments,Zerodha,Investments - Zerodha
2025-05-20,6139.96,Investments,SIP Payment,Investments - SIP Payment
2025-05-20,1559.18,Shopping,Lifestyle,Shopping - Lifestyle
2025-05-20,2038.02,Other,Miscellaneous,Other - Miscellaneous
2025-05-20,735.39,Transport,IRCTC,Transport - IRCTC
2025-05-20,1748.22,Groceries,Blinkit,Groceries - Blinkit
2025-05-20,1260.08,Bills,Electricity Board,Bills - Electricity Board
2025-05-20,518.88,Transport,Petrol Pump,Transport - Petrol Pump
2025-05-20,375.67,Food,KFC,Food - KFC
2025-05-21,2476.59,Groceries,DMart,Groceries - DMart
2025-05-21,392.01,Food,Swiggy,Food - Swiggy
2025-05-21,928.57,Transport,Indian Railways,Transport - Indian Railways
2025-05-21,3685.41,Healthcare,1mg,Healthcare - 1mg
2025-05-21,1268.18,Food,Local Restaurant,Food - Local Restaurant
2025-05-21,760.63,Personal Care,Spa,Personal Care - Spa
2025-05-21,851.24,Personal Care,Laundry,Personal Care - Laundry
2025-05-21,1941.98,Other,ATM Withdrawal,Other - ATM Withdrawal
2025-05-21,1615.43,Groceries,Zepto,Groceries - Zepto
2025-05-21,1556.06,Healthcare,Dental Clinic,Healthcare - Dental Clinic
2025-05-22,916.88,Groceries,Local Grocery,Groceries - Local Grocery
2025-05-22,1338.09,Bills,Gas Connection,Bills - Gas Connection
2025-05-22,1155.67,Personal Care,Grooming Products,Personal Care - Grooming Products
2025-05-22,6131.95,Bills,Airtel,Bills - Airtel
2025-05-22,3962.18,Travel,Goibibo,Travel - Goibibo
2025-05-22,983.93,Entertainment,Hotstar,Entertainment - Hotstar
2025-05-22,1703.66,Transport,Rapido,Transport - Rapido
2025-05-22,1388.35,Personal Care,Body Shop,Personal Care - Body Shop
2025-05-22,1798.84,Personal Care,Salon,Personal Care - Salon
2025-05-22,1557.42,Personal Care,Spa,Personal Care - Spa
2025-05-23,1761.23,Groceries,Vegetable Market,Groceries - Vegetable Market
2025-05-23,728.17,Transport,IRCTC,Transport - IRCTC
2025-05-23,4244.22,Travel,Travel Agent,Travel - Travel Agent
2025-05-23,1907.12,Bills,Vi,Bills - Vi
